priority,id,country,year,title_en,title_el,translation_status,source_status,direct_url_count,incident_path
high,greece_2021_dimitris_lignadis_cultural_power_networks,Greece,2021,Dimitris Lignadis case and cultural power networks,Dimitris Lignadis case and cultural power networks,needs-review,generic-guidance,0,Greece/00-00-2021/Dimitris Lignadis case and cultural power networks
high,greece_2021_karaivaz_assassination_journalist_safety,Greece,2021,Karaivaz assassination and journalist safety,Karaivaz assassination and journalist safety,needs-review,generic-guidance,0,Greece/00-00-2021/Karaivaz assassination and journalist safety
high,greece_2022_pispirigou_child_deaths_media_trial_problem,Greece,2022,Pispirigou child deaths media trial problem,Pispirigou child deaths media trial problem,needs-review,generic-guidance,0,Greece/00-00-2022/Pispirigou child deaths media trial problem
high,greece_2022_predatorgate_institutional_reform_gap,Greece,2022,Predatorgate institutional reform gap,Predatorgate institutional reform gap,needs-review,generic-guidance,0,Greece/00-00-2022/Predatorgate institutional reform gap
high,greece_2023_sports_fan_violence_organized_crime_networks,Greece,2023,Sports fan violence and organized crime networks,Sports fan violence and organized crime networks,needs-review,generic-guidance,0,Greece/00-00-2023/Sports fan violence and organized crime networks
high,greece_2023_storm_daniel_thessaly_floods_infrastructure_collapse,Greece,2023,Storm Daniel Thessaly floods and infrastructure collapse,Storm Daniel Thessaly floods and infrastructure collapse,needs-review,generic-guidance,0,Greece/00-00-2023/Storm Daniel Thessaly floods and infrastructure collapse
high,greece_2024_asimakopoulou_email_leak_diaspora_data,Greece,2024,Asimakopoulou email leak and diaspora data,Asimakopoulou email leak and diaspora data,needs-review,generic-guidance,0,Greece/00-00-2024/Asimakopoulou email leak and diaspora data
high,greece_2024_kyriaki_griva_murder_outside_police_station,Greece,2024,Kyriaki Griva murder outside police station,Δολοφονία Κυριακής Γρίβα έξω από αστυνομικό τμήμα,needs-review,generic-guidance,0,Greece/00-00-2024/Kyriaki Griva murder outside police station
high,greece_2025_opekepe_farmer_protests_subsidy_hole,Greece,2025,OPEKEPE farmer protests and subsidy hole,OPEKEPE farmer protests and subsidy hole,needs-review,generic-guidance,0,Greece/00-00-2025/OPEKEPE farmer protests and subsidy hole
high,greece_2025_personal_number_digital_id_anxiety_state_modernization,Greece,2025,Personal Number digital ID anxiety and state modernization,Personal Number digital ID anxiety and state modernization,needs-review,generic-guidance,0,Greece/00-00-2025/Personal Number digital ID anxiety and state modernization
high,usa_1882_chinese_exclusion_act_identity_surveillance,USA,1882,Chinese Exclusion Act enforcement and identity surveillance,Chinese Exclusion Act enforcement and identity surveillance,needs-review,generic-guidance,0,USA/00-00-1882/Chinese Exclusion Act enforcement and identity surveillance
high,usa_1890_wounded_knee_massacre,USA,1890,Wounded Knee Massacre,Wounded Knee Massacre,needs-review,generic-guidance,0,USA/00-00-1890/Wounded Knee Massacre
high,usa_1914_ludlow_massacre_company_state_violence,USA,1914,Ludlow Massacre and company-state violence,Ludlow Massacre and company-state violence,needs-review,generic-guidance,0,USA/00-00-1914/Ludlow Massacre and company-state violence
high,usa_1919_palmer_raids_first_red_scare,USA,1919,Palmer Raids and the first Red Scare,Palmer Raids and the first Red Scare,needs-review,generic-guidance,0,USA/00-00-1919/Palmer Raids and the first Red Scare
high,usa_1921_tulsa_race_massacre_destroyed_black_wealth,USA,1921,Tulsa Race Massacre and destroyed Black wealth,Tulsa Race Massacre and destroyed Black wealth,needs-review,generic-guidance,0,USA/00-00-1921/Tulsa Race Massacre and destroyed Black wealth
high,usa_1942_japanese_american_internment,USA,1942,Japanese American internment,Japanese American internment,needs-review,generic-guidance,0,USA/00-00-1942/Japanese American internment
high,usa_1946_guatemala_syphilis_experiments_us_health,USA,1946,Guatemala syphilis experiments by U.S. public-health researchers,Guatemala syphilis experiments by U.S. public-health researchers,needs-review,generic-guidance,0,USA/00-00-1946/Guatemala syphilis experiments by U.S. public-health researchers
high,usa_1950_operation_mockingbird_media_influence_allegations,USA,1950,Operation Mockingbird media influence allegations,Operation Mockingbird media influence allegations,needs-review,generic-guidance,0,USA/00-00-1950/Operation Mockingbird media influence allegations
high,usa_1951_project_artichoke_interrogation_research,USA,1951,Project ARTICHOKE and interrogation research,Project ARTICHOKE and interrogation research,needs-review,generic-guidance,0,USA/00-00-1951/Project ARTICHOKE and interrogation research
high,usa_1953_cia_iran_coup_blowback,USA,1953,CIA Iran coup blowback file,CIA Iran coup blowback file,needs-review,generic-guidance,0,USA/00-00-1953/CIA Iran coup blowback file
high,usa_1954_guatemala_coup_united_fruit_interests,USA,1954,Guatemala coup and United Fruit interests,Guatemala coup and United Fruit interests,needs-review,generic-guidance,0,USA/00-00-1954/Guatemala coup and United Fruit interests
high,usa_1956_cointelpro_roots_domestic_disruption_logic,USA,1956,COINTELPRO roots and domestic disruption logic,COINTELPRO roots and domestic disruption logic,needs-review,generic-guidance,0,USA/00-00-1956/COINTELPRO roots and domestic disruption logic
high,usa_1964_gulf_tonkin_incident_war_escalation,USA,1964,Gulf of Tonkin incident and war escalation,Gulf of Tonkin incident and war escalation,needs-review,generic-guidance,0,USA/00-00-1964/Gulf of Tonkin incident and war escalation
high,usa_1967_uss_liberty_attack_unanswered_questions,USA,1967,USS Liberty attack and unanswered trust questions,USS Liberty attack and unanswered trust questions,needs-review,generic-guidance,0,USA/00-00-1967/USS Liberty attack and unanswered trust questions
high,usa_1968_my_lai_massacre,USA,1968,My Lai massacre,My Lai massacre,needs-review,generic-guidance,0,USA/00-00-1968/My Lai massacre
high,usa_1969_fred_hampton_raid_fbi_informant_context,USA,1969,Fred Hampton raid and FBI informant context,Fred Hampton raid and FBI informant context,needs-review,generic-guidance,0,USA/00-00-1969/Fred Hampton raid and FBI informant context
high,usa_1971_attica_prison_uprising_state_retaking,USA,1971,Attica prison uprising and state retaking,Attica prison uprising and state retaking,needs-review,generic-guidance,0,USA/00-00-1971/Attica prison uprising and state retaking
high,usa_1971_pentagon_papers_secret_history_vietnam,USA,1971,Pentagon Papers and the secret history of Vietnam,Pentagon Papers and the secret history of Vietnam,needs-review,generic-guidance,0,USA/00-00-1971/Pentagon Papers and the secret history of Vietnam
high,usa_1972_watergate_burglary_executive_criminality,USA,1972,Watergate burglary and executive criminality,Watergate burglary and executive criminality,needs-review,generic-guidance,0,USA/00-00-1972/Watergate burglary and executive criminality
high,usa_1975_church_committee_domestic_spying_revelations,USA,1975,Church Committee domestic spying revelations,Church Committee domestic spying revelations,needs-review,generic-guidance,0,USA/00-00-1975/Church Committee domestic spying revelations
high,usa_1977_mkultra_hearings_destroyed_records_problem,USA,1977,MKULTRA hearings and destroyed records problem,MKULTRA hearings and destroyed records problem,needs-review,generic-guidance,0,USA/00-00-1977/MKULTRA hearings and destroyed records problem
high,usa_1980_october_surprise_allegations_election_mythology,USA,1980,October Surprise allegations and election mythology,October Surprise allegations and election mythology,needs-review,generic-guidance,0,USA/00-00-1980/October Surprise allegations and election mythology
high,usa_1986_iran_contra_affair,USA,1986,Iran Contra affair,Iran Contra affair,needs-review,generic-guidance,0,USA/00-00-1986/Iran Contra affair
high,usa_1988_pan_am_flight_103_investigation_geopolitical_blame,USA,1988,Pan Am Flight 103 investigation and geopolitical blame,Pan Am Flight 103 investigation and geopolitical blame,needs-review,generic-guidance,0,USA/00-00-1988/Pan Am Flight 103 investigation and geopolitical blame
high,usa_1991_rodney_king_beating_lapd_accountability,USA,1991,Rodney King beating and LAPD accountability,Rodney King beating and LAPD accountability,needs-review,generic-guidance,0,USA/00-00-1991/Rodney King beating and LAPD accountability
high,usa_1992_ruby_ridge_siege_rules_engagement_crisis,USA,1992,Ruby Ridge siege and rules of engagement crisis,Ruby Ridge siege and rules of engagement crisis,needs-review,generic-guidance,0,USA/00-00-1992/Ruby Ridge siege and rules of engagement crisis
high,usa_1993_world_trade_center_bombing_intelligence_aftermath,USA,1993,World Trade Center bombing intelligence aftermath,World Trade Center bombing intelligence aftermath,needs-review,generic-guidance,0,USA/00-00-1993/World Trade Center bombing intelligence aftermath
high,usa_1995_oklahoma_city_bombing_extremist_warning_failure,USA,1995,Oklahoma City bombing and extremist warning failure,Oklahoma City bombing and extremist warning failure,needs-review,generic-guidance,0,USA/00-00-1995/Oklahoma City bombing and extremist warning failure
high,usa_1996_cia_dark_alliance_crack_cocaine_controversy,USA,1996,CIA Dark Alliance crack cocaine controversy,CIA Dark Alliance και διαμάχη για crack κοκαΐνη,needs-review,generic-guidance,0,USA/00-00-1996/CIA Dark Alliance crack cocaine controversy
high,usa_1999_columbine_massacre_media_panic_cycle,USA,1999,Columbine massacre and media panic cycle,Columbine massacre and media panic cycle,needs-review,generic-guidance,0,USA/00-00-1999/Columbine massacre and media panic cycle
high,usa_2000_bush_v_gore_election_legitimacy_crisis,USA,2000,Bush v Gore and election legitimacy crisis,Bush v Gore and election legitimacy crisis,needs-review,generic-guidance,0,USA/00-00-2000/Bush v Gore and election legitimacy crisis
high,usa_2001_patriot_act_permanent_emergency_powers,USA,2001,PATRIOT Act and permanent emergency powers,PATRIOT Act and permanent emergency powers,needs-review,generic-guidance,0,USA/00-00-2001/PATRIOT Act and permanent emergency powers
high,usa_2002_abu_ghraib_prisoner_abuse_scandal,USA,2002,Abu Ghraib prisoner abuse scandal,Abu Ghraib prisoner abuse scandal,needs-review,generic-guidance,0,USA/00-00-2002/Abu Ghraib prisoner abuse scandal
high,usa_2002_no_child_left_behind_testing_regime_data_pressure,USA,2002,No Child Left Behind testing regime and data pressure,No Child Left Behind testing regime and data pressure,needs-review,generic-guidance,0,USA/00-00-2002/No Child Left Behind testing regime and data pressure
high,usa_2003_iraq_wmd_intelligence_failure,USA,2003,Iraq WMD intelligence failure,Iraq WMD intelligence failure,needs-review,generic-guidance,0,USA/00-00-2003/Iraq WMD intelligence failure
high,usa_2004_cia_black_sites_extraordinary_rendition,USA,2004,CIA black sites and extraordinary rendition,CIA black sites and extraordinary rendition,needs-review,generic-guidance,0,USA/00-00-2004/CIA black sites and extraordinary rendition
high,usa_2005_hurricane_katrina_levee_failure_abandonment,USA,2005,Hurricane Katrina levee failure and abandonment,Hurricane Katrina levee failure and abandonment,needs-review,generic-guidance,0,USA/00-00-2005/Hurricane Katrina levee failure and abandonment
high,usa_2005_nsa_warrantless_wiretapping_disclosure,USA,2005,NSA warrantless wiretapping disclosure,NSA warrantless wiretapping disclosure,needs-review,generic-guidance,0,USA/00-00-2005/NSA warrantless wiretapping disclosure
high,usa_2007_mortgage_crisis_foreclosure_machine,USA,2007,Mortgage crisis and foreclosure machine,Mortgage crisis and foreclosure machine,needs-review,generic-guidance,0,USA/00-00-2007/Mortgage crisis and foreclosure machine
high,usa_2008_aig_bailout_too_big_fail_culture,USA,2008,AIG bailout and too big to fail culture,AIG bailout and too big to fail culture,needs-review,generic-guidance,0,USA/00-00-2008/AIG bailout and too big to fail culture
high,usa_2009_h1n1_pandemic_response_rehearsal,USA,2009,H1N1 pandemic response and trust rehearsal,H1N1 pandemic response and trust rehearsal,needs-review,generic-guidance,0,USA/00-00-2009/H1N1 pandemic response and trust rehearsal
high,usa_2010_citizens_united_dark_money_politics,USA,2010,Citizens United and dark money politics,Citizens United and dark money politics,needs-review,generic-guidance,0,USA/00-00-2010/Citizens United and dark money politics
high,usa_2011_operation_fast_furious,USA,2011,Operation Fast and Furious,Operation Fast and Furious,needs-review,generic-guidance,0,USA/00-00-2011/Operation Fast and Furious
high,usa_2012_sandy_hook_tragedy_conspiracy_harassment_aftermath,USA,2012,Sandy Hook tragedy and conspiracy harassment aftermath,Sandy Hook tragedy and conspiracy harassment aftermath,needs-review,generic-guidance,0,USA/00-00-2012/Sandy Hook tragedy and conspiracy harassment aftermath
high,usa_2013_prism_disclosures_platform_surveillance,USA,2013,PRISM disclosures and platform surveillance,PRISM disclosures and platform surveillance,needs-review,generic-guidance,0,USA/00-00-2013/PRISM disclosures and platform surveillance
high,usa_2013_snowden_disclosures_prism_bulk_collection,USA,2013,"Snowden disclosures, PRISM, and bulk collection","Snowden disclosures, PRISM, and bulk collection",needs-review,generic-guidance,0,"USA/00-00-2013/Snowden disclosures, PRISM, and bulk collection"
high,usa_2014_ferguson_police_shooting_municipal_fines_system,USA,2014,Ferguson police shooting and municipal fines system,Ferguson police shooting and municipal fines system,needs-review,generic-guidance,0,USA/00-00-2014/Ferguson police shooting and municipal fines system
high,usa_2014_flint_water_crisis,USA,2014,Flint water crisis,Flint water crisis,needs-review,generic-guidance,0,USA/00-00-2014/Flint water crisis
high,usa_2015_chicago_laquan_mcdonald_video_cover_up_claims,USA,2015,Chicago Laquan McDonald video and cover-up claims,Chicago Laquan McDonald video and cover-up claims,needs-review,generic-guidance,0,USA/00-00-2015/Chicago Laquan McDonald video and cover-up claims
high,usa_2016_cambridge_analytica_data_persuasion_panic,USA,2016,Cambridge Analytica and data persuasion panic,Cambridge Analytica and data persuasion panic,needs-review,generic-guidance,0,USA/00-00-2016/Cambridge Analytica and data persuasion panic
high,usa_2016_standing_rock_pipeline_protest_policing,USA,2016,Standing Rock and pipeline protest policing,Standing Rock and pipeline protest policing,needs-review,generic-guidance,0,USA/00-00-2016/Standing Rock and pipeline protest policing
high,usa_2017_charlottesville_extremist_violence_response_failure,USA,2017,Charlottesville extremist violence and response failure,Charlottesville extremist violence and response failure,needs-review,generic-guidance,0,USA/00-00-2017/Charlottesville extremist violence and response failure
high,usa_2018_family_separation_at_us_border,USA,2018,Family separation at the US border,Family separation at the US border,needs-review,generic-guidance,0,USA/00-00-2018/Family separation at the US border
high,usa_2018_parkland_shooting_institutional_warning_failures,USA,2018,Parkland shooting and institutional warning failures,Parkland shooting and institutional warning failures,needs-review,generic-guidance,0,USA/00-00-2018/Parkland shooting and institutional warning failures
high,usa_2019_boeing_737_max_crashes_certification_failures,USA,2019,Boeing 737 MAX crashes and certification failures,Boeing 737 MAX crashes and certification failures,needs-review,generic-guidance,0,USA/00-00-2019/Boeing 737 MAX crashes and certification failures
high,usa_2019_college_admissions_bribery_scandal,USA,2019,College admissions bribery scandal,College admissions bribery scandal,needs-review,generic-guidance,0,USA/00-00-2019/College admissions bribery scandal
high,usa_2020_covid_nursing_home_deaths_policy_accountability,USA,2020,COVID nursing home deaths and policy accountability,COVID nursing home deaths and policy accountability,needs-review,generic-guidance,0,USA/00-00-2020/COVID nursing home deaths and policy accountability
high,usa_2020_george_floyd_murder_protest_response,USA,2020,George Floyd murder and protest response,George Floyd murder and protest response,needs-review,generic-guidance,0,USA/00-00-2020/George Floyd murder and protest response
high,usa_2020_operation_warp_speed_vaccine_politics_divide,USA,2020,Operation Warp Speed vaccine politics and trust divide,Operation Warp Speed vaccine politics and trust divide,needs-review,generic-guidance,0,USA/00-00-2020/Operation Warp Speed vaccine politics and trust divide
high,usa_2021_facebook_files_algorithmic_harm_debate,USA,2021,Facebook Files and algorithmic harm debate,Facebook Files and algorithmic harm debate,needs-review,generic-guidance,0,USA/00-00-2021/Facebook Files and algorithmic harm debate
high,usa_2021_january_6_capitol_attack_security_failures,USA,2021,January 6 Capitol attack and security failures,January 6 Capitol attack and security failures,needs-review,generic-guidance,0,USA/00-00-2021/January 6 Capitol attack and security failures
high,usa_2021_nso_pegasus_global_spyware_pressure,USA,2021,NSO Pegasus and global spyware pressure,NSO Pegasus and global spyware pressure,needs-review,generic-guidance,0,USA/00-00-2021/NSO Pegasus and global spyware pressure
high,usa_2022_ftx_collapse_crypto_political_access,USA,2022,FTX collapse and crypto political access,FTX collapse and crypto political access,needs-review,generic-guidance,0,USA/00-00-2022/FTX collapse and crypto political access
high,usa_2022_roe_v_wade_overturned_data_privacy_fears,USA,2022,Roe v Wade overturned and data privacy fears,Roe v Wade overturned and data privacy fears,needs-review,generic-guidance,0,USA/00-00-2022/Roe v Wade overturned and data privacy fears
high,usa_2023_maui_wildfires_response_land_grab_rumors,USA,2023,Maui wildfires response and land-grab rumors,Maui wildfires response and land-grab rumors,needs-review,generic-guidance,0,USA/00-00-2023/Maui wildfires response and land-grab rumors
high,usa_2023_ohio_train_derailment_toxic_risk_communication,USA,2023,Ohio train derailment and toxic-risk communication,Ohio train derailment and toxic-risk communication,needs-review,generic-guidance,0,USA/00-00-2023/Ohio train derailment and toxic-risk communication
high,usa_2024_baltimore_key_bridge_collapse_infrastructure_shock,USA,2024,Baltimore Key Bridge collapse and infrastructure shock,Baltimore Key Bridge collapse and infrastructure shock,needs-review,generic-guidance,0,USA/00-00-2024/Baltimore Key Bridge collapse and infrastructure shock
high,usa_2024_change_healthcare_cyberattack_medical_infrastructure_fragility,USA,2024,Change Healthcare cyberattack and medical infrastructure fragility,Change Healthcare cyberattack and medical infrastructure fragility,needs-review,generic-guidance,0,USA/00-00-2024/Change Healthcare cyberattack and medical infrastructure fragility
high,usa_2024_corporate_rent_algorithms_housing_manipulation_claims,USA,2024,Corporate rent algorithms and housing manipulation claims,Corporate rent algorithms and housing manipulation claims,needs-review,generic-guidance,0,USA/00-00-2024/Corporate rent algorithms and housing manipulation claims
high,usa_2025_ai_deepfakes_election_crisis,USA,2025,AI deepfakes and election trust crisis,AI deepfakes and election trust crisis,needs-review,generic-guidance,0,USA/00-00-2025/AI deepfakes and election trust crisis
high,usa_2025_federal_anti_corruption_cases_in_local_government,USA,2025,Federal anti-corruption cases and public trust in local government,Federal anti-corruption cases and public trust in local government,needs-review,generic-guidance,0,USA/00-00-2025/Federal anti-corruption cases and public trust in local government
medium,greece_1920_political_dynasties_venizelos_mitsotakis_link,Greece,1920,"POLITICAL DYNASTIES IN GREECE, AND THE VENIZELOS-MITSOTAKIS FAMILY LINK (1900-2026)",ΠΟΛΙΤΙΚΕΣ ΔΥΝΑΣΤΕΙΕΣ ΣΤΗΝ ΕΛΛΑΔΑ ΚΑΙ Η ΣΥΓΓΕΝΕΙΑ ΒΕΝΙΖΕΛΟΥ - ΜΗΤΣΟΤΑΚΗ (1900-2026),good,generic-guidance,0,"Greece/00-00-1920/POLITICAL DYNASTIES IN GREECE, AND THE VENIZELOS-MITSOTAKIS FAMILY LINK (1900-2026)"
medium,greece_1922_trial_of_the_six_asia_minor_accountability,Greece,1922,"Trial of the Six, Asia Minor catastrophe, and punishment politics","Δίκη των Έξι, Μικρασιατική Καταστροφή και πολιτική τιμωρίας",good,generic-guidance,0,"Greece/00-00-1922/Trial of the Six, Asia Minor catastrophe, and punishment politics"
medium,greece_1944_dekemvriana_british_intervention_civil_war_path,Greece,1944,"Dekemvriana, British intervention, and the road to civil war","Δεκεμβριανά, βρετανική επέμβαση και δρόμος προς τον εμφύλιο",good,generic-guidance,0,"Greece/00-00-1944/Dekemvriana, British intervention, and the road to civil war"
medium,greece_1944_dekemvriana_foreign_intervention_state_violence_civil_war_memory,Greece,1944,"Dekemvriana, foreign intervention, state violence and civil-war memory (1944)","Δεκεμβριανά, ξένη παρέμβαση, κρατική βία και μνήμη εμφυλίου (1944)",good,generic-guidance,0,"Greece/00-00-1944/Dekemvriana, foreign intervention, state violence and civil-war memory (1944)"
medium,greece_1944_dekemvriana_foreign_pressure_civil_conflict_state_memory,Greece,1944,"Greece — Dekemvriana, foreign pressure, civil conflict, and state memory (1944–1949)","Ελλάδα — Δεκεμβριανά, ξένη πίεση, εμφύλια σύγκρουση και κρατική μνήμη (1944–1949)",good,generic-guidance,0,"Greece/00-00-1944/Greece — Dekemvriana, foreign pressure, civil conflict, and state memory (1944–1949)"
